sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,queue,0.05,10000,100,39244,51,-5.451638788560501,0.19988164672122177,-5.839272155484996,-5.065011450948445,-6.056418575445402,-4.8468590016756,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,10000,500,935,51,-5.02068211423448,0.35206013766055094,-5.749571410014547,-4.381968014432741,-6.085906753503029,-3.9554574749659315,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,0,1,367342,51,-4.042746965067955,0.1643280415796071,-4.372620785337685,-3.7308213862189743,-4.539952584473012,-3.545541345662897,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,0,100,179414,51,-5.478869413415169,0.20278701715647518,-5.8768924006676855,-5.0868559775526565,-6.0924399489329595,-4.865298877897379,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,0,500,4068,51,-5.112332226461384,0.2574203876984765,-5.639687372646217,-4.661539132600695,-5.891206374067575,-4.333458078855194,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10,1,363859,51,-4.054325532337309,0.16464168487001485,-4.384624950182769,-3.7421537980494586,-4.552480138932747,-3.5561709257418705,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10,100,178053,51,-5.488702016088722,0.20290052938966152,-5.886749592641152,-5.096576835760577,-6.102616004371294,-4.874788027806151,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10,500,4029,51,-5.129726856262143,0.26122769260535367,-5.665071478872091,-4.673930297761857,-5.920120726103754,-4.339332986420532,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,100,1,344393,51,-4.105587159903721,0.16563914307594058,-4.4369432831353235,-3.7913132231607336,-4.606759765255433,-3.6044145545520103,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,100,100,170467,51,-5.5263772250201075,0.20316517010248683,-5.925326956409452,-5.1324103102095835,-6.141091933911744,-4.911662516128471,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,100,500,3817,51,-5.170643104622143,0.26534424077275925,-5.717827022789203,-4.709722274239591,-5.9734923707656336,-4.3677938384786525,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,1000,1,272622,51,-4.145657613525458,0.1614775684238246,-4.46758528134934,-3.839287147087283,-4.634238586416172,-3.657076640634743,9.999000099990002e-05,estimable
