date,requested_end_seconds,scheduled_close_seconds,end_gap_seconds,events_after_scheduled_close,coverage_status,analysis_status
2019-09-17,57600.0,57600.0,0.100758388,0,complete,included
2019-09-18,57600.0,57600.0,5403.079350652,0,incomplete,declared_source_exclusion
2019-09-19,57600.0,57600.0,0.004374592,0,complete,included
2019-09-20,57600.0,57600.0,0.010035243,0,complete,included
2019-09-23,57600.0,57600.0,0.00996399,0,complete,included
2019-09-24,57600.0,57600.0,0.030150151,0,complete,included
2019-09-25,57600.0,57600.0,0.08721734,0,complete,included
2019-09-26,57600.0,57600.0,0.017692142,0,complete,included
2019-09-27,57600.0,57600.0,0.019092975,0,complete,included
2019-09-30,57600.0,57600.0,0.003577942,0,complete,included
2019-10-01,57600.0,57600.0,0.058897795,0,complete,included
2019-10-02,57600.0,57600.0,0.008681206,0,complete,included
2019-10-03,57600.0,57600.0,0.086834665,0,complete,included
2019-10-04,57600.0,57600.0,0.017442703,0,complete,included
2019-10-07,57600.0,57600.0,0.03825086,0,complete,included
2019-10-08,57600.0,57600.0,0.019588042,0,complete,included
2019-10-09,57600.0,57600.0,0.036191392,0,complete,included
2019-10-10,57600.0,57600.0,0.008968133,0,complete,included
2019-10-11,57600.0,57600.0,0.004431489,0,complete,included
2019-10-14,57600.0,57600.0,0.130377569,0,complete,included
2019-10-15,57600.0,57600.0,0.086158991,0,complete,included
2019-10-16,57600.0,57600.0,0.087589297,0,complete,included
2019-10-17,57600.0,57600.0,0.158459055,0,complete,included
2019-10-18,57600.0,57600.0,0.129891414,0,complete,included
2019-10-21,57600.0,57600.0,0.071306278,0,complete,included
2019-10-22,57600.0,57600.0,0.100179284,0,complete,included
2019-10-23,57600.0,57600.0,0.093578497,0,complete,included
2019-10-24,57600.0,57600.0,0.028554682,0,complete,included
2019-10-25,57600.0,57600.0,0.04946228,0,complete,included
2019-10-28,57600.0,57600.0,0.04243997,0,complete,included
2019-10-29,57600.0,57600.0,0.004463704,0,complete,included
2019-10-30,57600.0,57600.0,0.055756462,0,complete,included
2019-10-31,57600.0,57600.0,0.000948688,0,complete,included
2019-11-01,57600.0,57600.0,0.087508545,0,complete,included
2019-11-04,57600.0,57600.0,0.019051906,0,complete,included
2019-11-05,57600.0,57600.0,0.086527933,0,complete,included
2019-11-06,57600.0,57600.0,0.035100911,0,complete,included
2019-11-07,57600.0,57600.0,0.02067162,0,complete,included
2019-11-08,57600.0,57600.0,0.24659842,0,complete,included
2019-11-11,57600.0,57600.0,0.373544975,0,complete,included
2019-11-12,57600.0,57600.0,0.010266183,0,complete,included
2019-11-13,57600.0,57600.0,0.395892938,0,complete,included
2019-11-14,57600.0,57600.0,0.022871748,0,complete,included
2019-11-15,57600.0,57600.0,0.02212913,0,complete,included
2019-11-18,57600.0,57600.0,0.364901599,0,complete,included
2019-11-19,57600.0,57600.0,0.022994763,0,complete,included
2019-11-20,57600.0,57600.0,0.036935103,0,complete,included
2019-11-21,57600.0,57600.0,0.002504935,0,complete,included
2019-11-22,57600.0,57600.0,0.093312975,0,complete,included
2019-11-25,57600.0,57600.0,0.029823135,0,complete,included
2019-11-26,57600.0,57600.0,0.047570527,0,complete,included
2019-11-27,57600.0,57600.0,0.000203286,0,complete,included
2019-11-29,57600.0,46800.0,0.001205422,301,complete,included
2019-12-02,57600.0,57600.0,0.059168988,0,complete,included
2019-12-03,57600.0,57600.0,0.023173478,0,complete,included
2019-12-04,57600.0,57600.0,0.013039806,0,complete,included
2019-12-05,57600.0,57600.0,0.011111804,0,complete,included
2019-12-06,57600.0,57600.0,0.023352014,0,complete,included
2019-12-09,57600.0,57600.0,0.394543176,0,complete,included
2019-12-10,57600.0,57600.0,0.033924941,0,complete,included
2019-12-11,57600.0,57600.0,0.087566501,0,complete,included
2019-12-12,57600.0,57600.0,0.056157545,0,complete,included
2019-12-13,57600.0,57600.0,0.010879949,0,complete,included
2019-12-16,57600.0,57600.0,0.074389908,0,complete,included
2019-12-17,57600.0,57600.0,0.001795934,0,complete,included
2019-12-18,57600.0,57600.0,0.033420772,0,complete,included
2019-12-19,57600.0,57600.0,0.027862038,0,complete,included
2019-12-20,57600.0,57600.0,0.012402961,0,complete,included
2019-12-23,57600.0,57600.0,0.011268918,0,complete,included
2019-12-24,57600.0,46800.0,0.528189307,774,complete,included
2019-12-26,57600.0,57600.0,0.121048018,0,complete,included
2019-12-27,57600.0,57600.0,0.022129708,0,complete,included
2019-12-30,57600.0,57600.0,0.030005185,0,complete,included
2019-12-31,57600.0,57600.0,0.004030051,0,complete,included
